Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3817,Picross 3D,DS,2009,Puzzle,Nintendo,0.3,0.03,0.16,0.03,0.53
3831,Classic Word Games,DS,2009,Misc,Ubisoft,0.09,0.37,0,0.07,0.52
3832,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,0.45,0.04,0,0.04,0.52
3838,Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,LucasArts,0.44,0.04,0,0.04,0.52
3851,IL-2 Sturmovik: Birds of Prey,X360,2009,Simulation,505 Games,0.23,0.24,0,0.05,0.52
3880,Dragon Age: Origins,PC,2009,Role-Playing,Electronic Arts,0,0.46,0,0.06,0.51
3888,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
3892,SoulCalibur: Broken Destiny,PSP,2009,Fighting,Namco Bandai Games,0.12,0.2,0.07,0.12,0.51
3893,The Saboteur,X360,2009,Action,Electronic Arts,0.26,0.21,0,0.05,0.51
3895,Pro Evolution Soccer 2010,Wii,2009,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51
3907,Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai Games,0.36,0.09,0.02,0.04,0.51
3912,Monsters vs. Aliens,DS,2009,Action,Activision,0.33,0.13,0,0.05,0.51
3928,Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts,0.18,0.21,0,0.12,0.51
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,Adventure,GSP,0.12,0.33,0,0.06,0.51
3960,Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5
3992,The Saboteur,PS3,2009,Action,Electronic Arts,0.2,0.22,0,0.08,0.5
4001,Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,0.29,0.16,0,0.05,0.5
4045,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009,Shooter,Activision,0.24,0.2,0,0.05,0.49
4055,WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.49
4062,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0,0.22,0.49
4069,Bass Pro Shops: The Strike,Wii,2009,Sports,XS Games,0.45,0,0,0.03,0.49
4082,F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49
4085,Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.48
4091,Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06,0.48
4097,Silent Hill: Shattered Memories,Wii,2009,Action,Konami Digital Entertainment,0.23,0.19,0.01,0.05,0.48
4110,Rock Band Unplugged,PSP,2009,Misc,MTV Games,0.24,0.15,0,0.1,0.48
4136,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Square Enix,0.12,0.06,0.27,0.02,0.48
4140,Up,PS2,2009,Action,THQ,0.19,0.05,0,0.24,0.48
4145,Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.09,0,0.04,0.48
4159,MySims Racing,Wii,2009,Racing,Electronic Arts,0.19,0.23,0,0.05,0.47
4182,"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,0.45,0,0.02,0.47
4193,Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.34,0.09,0,0.04,0.47
4198,The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0,0.04,0.47
4210,Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,0.47
4274,Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,LucasArts,0.19,0.19,0,0.07,0.46
4278,LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.33,0.09,0,0.04,0.46
4281,Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46
4294,Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.46
4300,iCarly,Wii,2009,Adventure,Activision,0.42,0,0,0.03,0.46
4310,Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45
4312,Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.03,0.38,0.02,0.45
4353,Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,0.42,0,0,0.03,0.45
4356,Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009,Action,Activision,0.27,0.14,0,0.04,0.45
4357,PES 2009: Pro Evolution Soccer,Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45
4359,SingStar Queen,PS3,2009,Misc,Sony Computer Entertainment,0.11,0.26,0,0.08,0.45
4361,Samurai Warriors 3,Wii,2009,Action,Nintendo,0.1,0.02,0.32,0.01,0.45
4369,Dance Dance Revolution: Hottest Party 3,Wii,2009,Simulation,Konami Digital Entertainment,0.26,0.14,0,0.04,0.45
4376,Band Hero,DS,2009,Misc,Activision,0.21,0.19,0,0.05,0.45
4383,SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45
4387,NBA Live 10,X360,2009,Sports,Electronic Arts,0.4,0.02,0,0.03,0.45
4408,Karaoke Revolution,Wii,2009,Misc,Konami Digital Entertainment,0.24,0.16,0,0.04,0.45
4409,Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0,0,0.03,0.45
4420,TouchMaster 3,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0.3,0.11,0,0.04,0.44
4425,Food Network: Cook or Be Cooked,Wii,2009,Misc,Namco Bandai Games,0.41,0,0,0.03,0.44
4436,G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0,0.05,0.44
4437,Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,D3Publisher,0.25,0.15,0,0.04,0.44
4455,Sin and Punishment: Star Successor,Wii,2009,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44
4456,Jump Start Pet Rescue,Wii,2009,Misc,Knowledge Adventure,0.41,0,0,0.03,0.44
4463,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44
4482,SingStar Motown,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.38,0.44
4493,Remington Great American Bird Hunt,Wii,2009,Sports,Mastiff,0.41,0,0,0.03,0.44
4497,Dora the Explorer: Dora Puppy,DS,2009,Misc,Take-Two Interactive,0.39,0.01,0,0.03,0.43
4521,Rune Factory 3: A Fantasy Harvest Moon,DS,2009,Role-Playing,Rising Star Games,0.28,0.03,0.1,0.02,0.43
4529,Ghostbusters: The Video Game,PS2,2009,Action,Atari,0.15,0.04,0,0.24,0.43
4543,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.37,0,0.03,0.03,0.43
4553,NASCAR Kart Racing,Wii,2009,Racing,Electronic Arts,0.39,0,0,0.03,0.43
4559,Call of Duty: Modern Warfare: Mobilized,DS,2009,Shooter,Activision,0.37,0.02,0,0.03,0.43
4562,Bakugan: Battle Brawlers,PS2,2009,Action,Activision,0.21,0.16,0,0.05,0.43
4572,Ben 10 Alien Force: Vilgax Attacks,DS,2009,Action,D3Publisher,0.22,0.16,0,0.04,0.42
4573,Ben 10 Alien Force: Vilgax Attacks,PSP,2009,Action,D3Publisher,0.13,0.19,0,0.11,0.42
4577,LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0,0.06,0.42
4582,Guitar Hero: Smash Hits,X360,2009,Misc,Activision,0.23,0.15,0,0.04,0.42
4600,SpongeBob's Truth or Square (US sales),DS,2009,Action,THQ,0.42,0,0,0,0.42
4612,Marvel Super Hero Squad,DS,2009,Fighting,THQ,0.37,0.02,0,0.03,0.42
4641,JumpStart: Escape from Adventure Island,Wii,2009,Adventure,Knowledge Adventure,0.39,0,0,0.03,0.42
4643,Style Lab: Makeover,DS,2009,Simulation,Ubisoft,0.35,0.03,0,0.03,0.42
4657,Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts,0.21,0.13,0,0.08,0.42
4673,Katamari Forever,PS3,2009,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42
4678,Ghostbusters: The Video Game,DS,2009,Action,Atari,0.26,0.12,0,0.04,0.41
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0,0,0.41,0,0.41
4703,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009,Shooter,Activision,0.17,0.15,0,0.09,0.41
4705,James Patterson Women's Murder Club: Games of Passion,DS,2009,Adventure,THQ,0.15,0.22,0,0.05,0.41
4715,Six Flags Fun Park,Wii,2009,Misc,Ubisoft,0.28,0.1,0,0.04,0.41
4716,Spore Hero,Wii,2009,Simulation,Electronic Arts,0.36,0.03,0,0.03,0.41
4720,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,Misc,Hudson Soft,0,0,0.41,0,0.41
4721,Up,PSP,2009,Action,THQ,0.24,0.1,0,0.07,0.41
4725,Cars: Race-O-Rama,PSP,2009,Racing,THQ,0.29,0.07,0,0.06,0.41
4728,Star Wars The Clone Wars: Republic Heroes,DS,2009,Action,LucasArts,0.23,0.14,0,0.04,0.41
4737,Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games,0.39,0,0,0.02,0.41
4745,Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.2,0.41
4766,Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision,0.23,0.02,0,0.16,0.41
4777,Avatar: The Game,DS,2009,Action,Ubisoft,0.19,0.18,0,0.04,0.41
4778,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009,Misc,Mentor Interactive,0.38,0,0,0.03,0.41
4797,NBA 2K10,PS2,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.05,0.4
4801,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009,Misc,Namco Bandai Games,0,0,0.4,0,0.4
4807,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03,0.4
4820,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix,0.22,0.08,0.08,0.03,0.4
4821,Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value,0.37,0,0,0.03,0.4
4836,Sherlock Holmes: The Mystery of the Mummy,DS,2009,Adventure,Focus Home Interactive,0.06,0.3,0,0.04,0.4
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts,0.18,0.17,0,0.04,0.4
4843,SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ,0.38,0.01,0,0,0.4
4846,Planet 51,DS,2009,Action,Sega,0.22,0.14,0,0.04,0.4
4853,Legends of WrestleMania,X360,2009,Fighting,THQ,0.2,0.16,0,0.04,0.4
4888,NBA 2K10,Wii,2009,Sports,Take-Two Interactive,0.36,0,0,0.03,0.39
4905,SpongeBob's Truth or Square (US sales),PSP,2009,Action,THQ,0.39,0,0,0,0.39
4922,Need for Speed: Nitro,DS,2009,Racing,Electronic Arts,0.22,0.13,0,0.04,0.39
4938,Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,0.32,0,0.07,0.39
4949,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ,0.24,0.11,0,0.04,0.39
4965,Junior Classic Games,DS,2009,Misc,Avanquest,0.26,0.09,0,0.03,0.39
4966,Hooked! Again: Real Motion Fishing,Wii,2009,Sports,505 Games,0.36,0,0,0.03,0.39
4973,Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision,0.2,0.15,0,0.04,0.39
4974,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0,0.36,0,0.02,0.39
4982,Virtua Tennis 2009,PS3,2009,Sports,Sega,0.09,0.23,0,0.07,0.38
4989,Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft,0.24,0.11,0,0.04,0.38
4993,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,0.17,0.12,0.06,0.03,0.38
4997,Peppa Pig: The Game,Wii,2009,Misc,Pinnacle,0,0.35,0,0.03,0.38
5001,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38
5018,Overlord: Dark Legend,Wii,2009,Action,Codemasters,0.12,0.22,0,0.04,0.38
5036,Virtua Tennis 2009,Wii,2009,Sports,Sega,0.13,0.21,0,0.04,0.38
5043,DiRT 2,Wii,2009,Racing,Codemasters,0.11,0.23,0,0.04,0.38
5046,Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0,0.04,0.38
5077,Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
5078,Marvel Super Hero Squad,Wii,2009,Fighting,THQ,0.31,0.03,0,0.03,0.38
5087,Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ,0.35,0,0,0.03,0.37
5091,SAW,PS3,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.07,0.37
5095,Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.04,0.37
5105,Mini Ninjas,Wii,2009,Action,Eidos Interactive,0.17,0.17,0,0.04,0.37
5125,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0,0,0.02,0.37
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,0.14,0.17,0,0.06,0.37
5138,Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.07,0.37
5139,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,0.37
5160,Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,0.37
5165,Dreamworks Madagascar Kartz,DS,2009,Racing,Activision,0.25,0.08,0,0.03,0.36
5190,BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,0.21,0.08,0.04,0.03,0.36
5195,Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,0.33,0,0,0.03,0.36
5200,NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.03,0.36
5213,Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,0.2,0.11,0,0.05,0.36
5223,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.33,0,0,0.03,0.36
5240,U-Sing,Wii,2009,Misc,Mindscape,0,0.32,0,0.03,0.36
5258,G-Force,PSP,2009,Action,Electronic Arts,0.24,0.07,0,0.05,0.36
5259,NHL 2K10,PS2,2009,Sports,Take-Two Interactive,0.17,0.14,0,0.05,0.36
5260,Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,0.26,0,0.09,0.36
5265,CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,0.16,0.16,0,0.04,0.35
5282,Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.16,0,0.06,0.35
5287,Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0,0.04,0.35
5292,Mini Ninjas,DS,2009,Action,Eidos Interactive,0.17,0.15,0,0.04,0.35
5302,Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,0.13,0.18,0,0.04,0.35
5321,Guitar Hero: Metallica,PS2,2009,Misc,Activision,0.17,0.13,0,0.04,0.35
5352,Style Lab: Jewelry Design,DS,2009,Simulation,Ubisoft,0.32,0,0,0.02,0.34
5376,MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34
5389,Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34
5398,Harry Potter and the Half-Blood Prince,PS3,2009,Action,Electronic Arts,0.15,0.13,0,0.06,0.34
5409,Bookworm,DS,2009,Puzzle,PopCap Games,0.31,0.01,0,0.02,0.34
5425,Pony Friends 2,DS,2009,Simulation,Eidos Interactive,0.21,0.1,0,0.03,0.34
5426,Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0,0.22,0.34
5439,Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment,0.12,0.18,0,0.04,0.34
5443,Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33
5445,Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,0.17,0.13,0,0.03,0.33
5458,Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0,0.03,0.33
5460,Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0,0,0.33,0,0.33
5465,SingStar Take That,PS3,2009,Misc,Sony Computer Entertainment,0,0.3,0,0.03,0.33
5466,Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,Activision,0.26,0.05,0,0.03,0.33
5473,Chicken Blaster,Wii,2009,Shooter,Zushi Games,0.31,0,0,0.02,0.33
5482,NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0,0,0.03,0.33
5497,Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,Majesco Entertainment,0.17,0.13,0,0.03,0.33
5500,MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33
5505,Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33
5513,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.12,0.01,0.03,0.33
5529,DiRT 2,PSP,2009,Racing,Sony Computer Entertainment,0.09,0.16,0,0.09,0.33
5530,Vin Diesel: Wheelman,PS3,2009,Racing,Ubisoft,0.12,0.15,0,0.06,0.33
5532,My Baby: First Steps,DS,2009,Simulation,SouthPeak Games,0.28,0.03,0,0.02,0.33
5568,Discovery Kids: Puppy Playtime,DS,2009,Simulation,505 Games,0.3,0,0,0.02,0.33
5577,Overlord II,X360,2009,Action,Codemasters,0.15,0.14,0,0.03,0.32
5578,NBA 2K10,PSP,2009,Sports,Take-Two Interactive,0.3,0,0,0.03,0.32
5592,NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0,0,0.02,0.32
5598,Tekken 6,PSP,2009,Fighting,Namco Bandai Games,0.15,0.04,0.1,0.03,0.32
5603,Overlord II,PS3,2009,Action,Codemasters,0.11,0.15,0,0.06,0.32
5608,Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0,0.27,0,0.05,0.32
5612,Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.3,0,0,0.02,0.32
5624,The Biggest Loser,DS,2009,Sports,THQ,0.18,0.11,0,0.03,0.32
5629,SimAnimals,Wii,2009,Simulation,Electronic Arts,0.15,0.14,0,0.03,0.32
5654,Harry Potter and the Half-Blood Prince,X360,2009,Action,Electronic Arts,0.17,0.12,0,0.03,0.32
5656,Rock Band Country Track Pack,PS2,2009,Misc,MTV Games,0.16,0.12,0,0.04,0.32
5657,7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03,0.32
5679,Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,0.29,0,0,0.02,0.32
5690,DJ Hero,PS2,2009,Misc,Activision,0.1,0.02,0,0.2,0.32
5703,Fuel,X360,2009,Racing,Codemasters,0.09,0.19,0,0.04,0.31
5740,Foto Frenzy: Spot The Diffrence,DS,2009,Puzzle,Storm City Games,0.29,0,0,0.02,0.31
5745,SD Gundam G Generation Wars,PS2,2009,Strategy,Namco Bandai Games,0,0,0.31,0,0.31
5753,Cabela's Outdoor Adventures (2009),Wii,2009,Sports,Activision Value,0.29,0,0,0.02,0.31
5774,Little King's Story,Wii,2009,Strategy,Rising Star Games,0.15,0.11,0.02,0.02,0.31
5807,Shaun White Snowboarding: World Stage,Wii,2009,Sports,Ubisoft,0.25,0.04,0,0.02,0.31
5808,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,Misc,Mentor Interactive,0.29,0,0,0.02,0.31
5811,Monsters vs. Aliens,PS3,2009,Action,Activision,0.21,0.06,0,0.03,0.31
5822,Imagine: Family Doctor,DS,2009,Simulation,Ubisoft,0.28,0.01,0,0.02,0.3
5823,Magna Carta 2,X360,2009,Role-Playing,Banpresto,0.13,0.08,0.07,0.02,0.3
5852,Puyo Puyo 7,DS,2009,Puzzle,Sega,0,0,0.3,0,0.3
5875,Jonas,DS,2009,Adventure,Disney Interactive Studios,0.28,0,0,0.02,0.3
5891,MySims Party,DS,2009,Simulation,Electronic Arts,0.15,0.12,0,0.03,0.3
5919,Reel Fishing: Angler's Dream,Wii,2009,Sports,Zushi Games,0.26,0.01,0,0.02,0.3
5927,Alvin and the Chipmunks: The Squeakquel,DS,2009,Misc,Majesco Entertainment,0.28,0,0,0.02,0.3
5937,Wanted: Weapons of Fate,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.14,0.1,0.01,0.05,0.3
5940,Dreamworks Madagascar Kartz,PS3,2009,Racing,Activision,0.19,0.07,0,0.04,0.3
5942,Guitar Hero: Van Halen,X360,2009,Misc,Activision,0.16,0.1,0,0.03,0.3
5964,Mini Ninjas,X360,2009,Action,Eidos Interactive,0.12,0.14,0,0.03,0.29
5966,The BIGS 2,Wii,2009,Sports,Take-Two Interactive,0.26,0.01,0,0.02,0.29
5969,The Chronicles of Riddick: Assault on Dark Athena,X360,2009,Shooter,Atari,0.16,0.1,0,0.03,0.29
5979,Dynasty Warriors: Strikeforce,PS3,2009,Action,Tecmo Koei,0.11,0.08,0.07,0.03,0.29
5982,Up,X360,2009,Action,THQ,0.2,0.07,0,0.03,0.29
5985,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,2009,Action,Namco Bandai Games,0,0.1,0.17,0.02,0.29
5986,Ben 10 Alien Force: Vilgax Attacks,PS2,2009,Action,D3Publisher,0.11,0.03,0,0.15,0.29
5996,Guitar Hero: Van Halen,Wii,2009,Misc,Activision,0.14,0.12,0,0.03,0.29
5998,Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,0.14,0,0.14,0.01,0.29
6010,Imagine: Fashion Designer World Tour,DS,2009,Simulation,Ubisoft,0.27,0,0,0.02,0.29
6019,CSI: Deadly Intent,Wii,2009,Adventure,Ubisoft,0.13,0.13,0,0.03,0.29
6037,Marvel Super Hero Squad,PS2,2009,Fighting,THQ,0.14,0.11,0,0.04,0.29
6040,Dead Rising: Chop Till You Drop,Wii,2009,Action,Capcom,0.15,0.07,0.05,0.02,0.29
6066,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,0.12,0.12,0,0.05,0.29
6084,SAW,X360,2009,Action,Konami Digital Entertainment,0.13,0.12,0,0.03,0.29
6108,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,0.11,0.14,0,0.03,0.28
6111,DeathSmiles,X360,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28
6143,Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0,0.03,0.28
6192,Bionic Commando,X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28
6223,Guitar Hero: Van Halen,PS3,2009,Misc,Activision,0.14,0.09,0,0.04,0.28
6227,Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0,0.16,0.28
6259,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.26,0,0,0.02,0.28
6286,Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,0.25,0,0,0.02,0.27
6287,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0,0.17,0.27
6303,Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
6320,G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0,0.14,0.27
6371,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.14,0,0.12,0.01,0.27
6377,Section 8,X360,2009,Shooter,SouthPeak Games,0.15,0.09,0,0.03,0.27
6380,Final Fantasy XI: Ultimate Collection,X360,2009,Role-Playing,Square Enix,0.25,0,0,0.02,0.27
6387,Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,Misc,Take-Two Interactive,0.24,0.01,0,0.02,0.27
6400,Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0,0,0.02,0.27
6404,Are You Smarter than a 5th Grader? Game Time,Wii,2009,Puzzle,THQ,0.25,0,0,0.02,0.27
6416,Cabela's Big Game Hunter 2010,X360,2009,Sports,Activision Value,0.25,0,0,0.02,0.27
6423,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.25,0,0,0.02,0.27
6425,Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.25,0,0,0.02,0.27
6431,Imagine: Fashion Party,Wii,2009,Simulation,Ubisoft,0.25,0,0,0.02,0.27
6433,Scene It? Twilight,Wii,2009,Misc,Konami Digital Entertainment,0.16,0.08,0,0.02,0.27
6435,Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.1,0,0.03,0.27
6455,Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts,0.22,0.02,0,0.02,0.26
6463,Beyblade: Metal Fusion,DS,2009,Role-Playing,Hudson Soft,0.08,0.03,0.14,0.01,0.26
6470,Love Plus,DS,2009,Simulation,Konami Digital Entertainment,0,0,0.26,0,0.26
6480,We Cheer 2,Wii,2009,Simulation,Namco Bandai Games,0.24,0,0,0.02,0.26
6497,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.26
6506,TouchMaster 3(Others sales),DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0,0.24,0,0.02,0.26
6516,Disney Sing It: Pop Hits,PS3,2009,Misc,Disney Interactive Studios,0.17,0.05,0,0.03,0.26
6517,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.17,0.07,0,0.02,0.26
6520,Hatsune Miku: Project Diva,PSP,2009,Misc,Sega,0,0,0.26,0,0.26
6523,Sengoku Basara: Battle Heroes,PSP,2009,Action,Capcom,0,0,0.26,0,0.26
6534,Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision,0.11,0.1,0,0.06,0.26
6540,Tiger Woods PGA Tour 10,PS2,2009,Sports,Electronic Arts,0.12,0.01,0,0.13,0.26
6543,Monsters vs. Aliens,Wii,2009,Action,Activision,0.14,0.09,0,0.03,0.26
6552,MLB 09: The Show,PSP,2009,Sports,Sony Computer Entertainment,0.24,0,0,0.02,0.26
6571,Daisy Fuentes Pilates,Wii,2009,Sports,505 Games,0.17,0.06,0,0.02,0.26
6591,The Backyardigans,DS,2009,Adventure,Take-Two Interactive,0.24,0,0,0.02,0.26
6596,Tomb Raider: Underworld (Others sales),PS2,2009,Adventure,Eidos Interactive,0,0.21,0,0.04,0.26
6621,Star Wars The Clone Wars: Republic Heroes,PS2,2009,Action,LucasArts,0.17,0.01,0,0.08,0.25
